"","V2","X","V1","V3","V4"
"112","Akcent_(polski_zespół_muzyczny)",3619,"Zenon_Martyniuk","link",2216
"113","Akcent_(polski_zespół_muzyczny)",3619,"Crazy_Boys","link",15
"114","Akcent_(polski_zespół_muzyczny)",3619,"Przekorny_los","link",11
"115","Akcent_(polski_zespół_muzyczny)",3619,"other-empty","external",528
"116","Akcent_(polski_zespół_muzyczny)",3619,"Jorrgus","other",21
"117","Akcent_(polski_zespół_muzyczny)",3619,"Disco_polo","link",87
"118","Akcent_(polski_zespół_muzyczny)",3619,"other-other","external",57
"119","Akcent_(polski_zespół_muzyczny)",3619,"Blue_Star","link",16
"120","Akcent_(polski_zespół_muzyczny)",3619,"Disco_Polo_Live","link",11
"121","Akcent_(polski_zespół_muzyczny)",3619,"Gredele","link",22
"122","Al_Bano",44552,"other-external","external",440
"123","Al_Bano",44552,"Fancy","link",13
"124","Al_Bano",44552,"Modern_Talking","other",14
"125","Al_Bano",44552,"Konkurs_Piosenki_Eurowizji_1976","link",10
"126","Al_Bano",44552,"other-other","external",1634
"127","Al_Bano",44552,"Albano","other",20
"128","Al_Bano",44552,"Ricchi_e_Poveri","link",13
"129","Al_Bano",44552,"other-search","external",80368
"130","Al_Bano",44552,"other-internal","external",334
"131","Al_Bano",44552,"other-empty","external",7319
"132","Al_Bano",44552,"Romina_Power","link",38772
"133","Al_Bano",44552,"Cellino_San_Marco","link",26
"134","Al_Bano",44552,"Thomas_Anders","other",21
"135","Albano_Carrisi",8233,NA,NA,NA
"136","Aleksandra_Szwed",3186,"Patricia_Kazadi","link",151
"137","Aleksandra_Szwed",3186,"Misheel_Jargalsaikhan","link",60
"138","Aleksandra_Szwed",3186,"Monika_Mrozowska","link",163
"139","Aleksandra_Szwed",3186,"other-external","external",40
"140","Aleksandra_Szwed",3186,"Aleksandra","link",13
"141","Aleksandra_Szwed",3186,"Ranczo_(serial_telewizyjny)","link",19
"142","Aleksandra_Szwed",3186,"other-internal","external",142
"143","Aleksandra_Szwed",3186,"Big_Music_Quiz","link",12
"144","Aleksandra_Szwed",3186,"Twoja_twarz_brzmi_znajomo","link",83
"145","Aleksandra_Szwed",3186,"Marco_Bocchino","link",13
"146","Aleksandra_Szwed",3186,"Krzysztof_Krawczyk","link",52
"147","Aleksandra_Szwed",3186,"Until_Dawn","link",12
"148","Aleksandra_Szwed",3186,"Star_Wars:_Battlefront_II_(gra_komputerowa_2017)","link",16
"149","Aleksandra_Szwed",3186,"other-search","external",12642
"150","Aleksandra_Szwed",3186,"other-other","external",164
"151","Aleksandra_Szwed",3186,"other-empty","external",734
"152","Andrzej_Piaseczny",1547,"other-other","external",334
"153","Andrzej_Piaseczny",1547,"Dyskografia_Andrzeja_Piasecznego","link",129
"154","Andrzej_Piaseczny",1547,"other-internal","external",202
"155","Andrzej_Piaseczny",1547,"Piasek_(ujednoznacznienie)","link",11
"156","Andrzej_Piaseczny",1547,"other-search","external",24672
"157","Andrzej_Piaseczny",1547,"other-external","external",86
"158","Andrzej_Piaseczny",1547,"Seweryn_Krajewski","link",71
"159","Andrzej_Piaseczny",1547,"Polska_w_Konkursie_Piosenki_Eurowizji","link",12
"160","Andrzej_Piaseczny",1547,"Pionki","link",17
"161","Andrzej_Piaseczny",1547,"Piaseczny","link",46
"162","Andrzej_Piaseczny",1547,"The_Voice_of_Poland","link",238
"163","Andrzej_Piaseczny",1547,"Maryla_Rodowicz","other",555
"164","Andrzej_Piaseczny",1547,"Piasek_(album)","link",15
"165","Andrzej_Piaseczny",1547,"Krzysztof_Piaseczny","link",37
"166","Andrzej_Piaseczny",1547,"Magda_Femme","other",32
"167","Andrzej_Piaseczny",1547,"Patricia_Kazadi","link",10
"168","Andrzej_Piaseczny",1547,"Robert_Chojnacki","link",90
"169","Andrzej_Piaseczny",1547,"other-empty","external",1515
"170","Ania_Dąbrowska",5517,"Andrzej_Smolik","link",10
"171","Ania_Dąbrowska",5517,"Ania","link",10
"172","Ania_Dąbrowska",5517,"other-external","external",16
"173","Ania_Dąbrowska",5517,"Kasia_Cerekwicka","link",63
"174","Ania_Dąbrowska",5517,"other-empty","external",878
"175","Ania_Dąbrowska",5517,"The_Voice_of_Poland","link",254
"176","Ania_Dąbrowska",5517,"Jazzboy","link",45
"177","Ania_Dąbrowska",5517,"other-other","external",166
"178","Ania_Dąbrowska",5517,"other-search","external",11212
"179","Ania_Dąbrowska",5517,"OLiS","link",12
"180","Ania_Dąbrowska",5517,"other-internal","external",115
"181","Ania_Dąbrowska",5517,"Siostry_Melosik","link",18
"182","Ania_Dąbrowska",5517,"Kayah","link",49
"183","Ania_Dąbrowska",5517,"Sonny_Bono","link",11
"184","Ania_Dąbrowska",5517,"Idol_(program_telewizyjny)","link",244
"185","Anna_Dąbrowska",2164,"other-other","external",54
"186","Anna_Dąbrowska",2164,"other-search","external",6496
"187","Anna_Dąbrowska",2164,"other-external","external",18
"188","Anna_Dąbrowska",2164,"other-empty","external",337
"189","Anna_Wyszkoni",3683,"other-empty","external",1319
"190","Anna_Wyszkoni",3683,"Kora_(wokalistka)","link",10
"191","Anna_Wyszkoni",3683,"other-other","external",228
"192","Anna_Wyszkoni",3683,"Maciej_Durczak","link",12
"193","Anna_Wyszkoni",3683,"Sara_Chmiel","link",70
"194","Anna_Wyszkoni",3683,"other-internal","external",158
"195","Anna_Wyszkoni",3683,"Jestem_tu_nowa","link",10
"196","Anna_Wyszkoni",3683,"Dancing_with_the_Stars._Taniec_z_gwiazdami","link",15
"197","Anna_Wyszkoni",3683,"other-external","external",80
"198","Anna_Wyszkoni",3683,"Szansa_na_sukces","link",31
"199","Anna_Wyszkoni",3683,"other-search","external",20088
"200","Anni-Frid_Lyngstad",4264,"other-internal","external",56
"201","Anni-Frid_Lyngstad",4264,"other-other","external",98
"202","Anni-Frid_Lyngstad",4264,"ABBA","link",27593
"203","Anni-Frid_Lyngstad",4264,"other-external","external",12
"204","Anni-Frid_Lyngstad",4264,"other-empty","external",1608
"205","Anni-Frid_Lyngstad",4264,"other-search","external",5210
"206","Anni-Frid_Lyngstad",4264,"Phil_Collins","link",23
"207","Anni-Frid_Lyngstad",4264,"Benny_Andersson","link",288
"208","Bajm",1739,"other-empty","external",478
"209","Bajm",1739,"other-search","external",6720
"210","Bajm",1739,"other-other","external",64
"211","Bajm",1739,"other-internal","external",53
"212","Bajm",1739,"other-external","external",45
"213","Bajm",1739,"Beata_Kozidrak","link",514
"214","Bajm",1739,"Marek_Raduli","link",20
"215","Bajm",1739,"Bajm_(album)","link",23
"216","Barbara_Kurdej-Szatan",1758,"other-internal","external",213
"217","Barbara_Kurdej-Szatan",1758,"Big_Music_Quiz","link",14
"218","Barbara_Kurdej-Szatan",1758,"Narzeczony_na_niby","link",16
"219","Barbara_Kurdej-Szatan",1758,"The_Voice_of_Poland","link",186
"220","Barbara_Kurdej-Szatan",1758,"Telekamery_2018","link",29
"221","Barbara_Kurdej-Szatan",1758,"The_Voice_Kids_(Polska)","link",125
"222","Barbara_Kurdej-Szatan",1758,"Zygmunt_Chajzer","other",226
"223","Barbara_Kurdej-Szatan",1758,"Czarownica_(film_2014)","link",24
"224","Barbara_Kurdej-Szatan",1758,"Agnieszka_Cegielska","other",234
"225","Barbara_Kurdej-Szatan",1758,"other-search","external",38073
"226","Barbara_Kurdej-Szatan",1758,"W_rytmie_serca_(serial_telewizyjny)","link",118
"227","Barbara_Kurdej-Szatan",1758,"other-external","external",145
"228","Barbara_Kurdej-Szatan",1758,"other-empty","external",2138
"229","Barbara_Kurdej-Szatan",1758,"other-other","external",488
"230","Beata_Kozidrak",14548,"other-external","external",209
"231","Beata_Kozidrak",14548,"other-other","external",387
"232","Beata_Kozidrak",14548,"other-search","external",29999
"233","Beata_Kozidrak",14548,"Bajm","link",1257
"234","Beata_Kozidrak",14548,"Anna_Wyszkoni","other",86
"235","Beata_Kozidrak",14548,"Pan_Kleks_w_kosmosie","link",28
"236","Beata_Kozidrak",14548,"Lublin","link",12
"237","Beata_Kozidrak",14548,"Izabela_Trojanowska","other",14
"238","Beata_Kozidrak",14548,"other-internal","external",249
"239","Beata_Kozidrak",14548,"Urszula_(wokalistka)","link",29
"240","Beata_Kozidrak",14548,"B3_(album_Beaty_Kozidrak)","link",25
"241","Beata_Kozidrak",14548,"Beata","link",16
"242","Beata_Kozidrak",14548,"Maryla_Rodowicz","link",37
"243","Beata_Kozidrak",14548,"other-empty","external",1979
"244","Benny_Andersson",6615,"other-internal","external",17
"245","Benny_Andersson",6615,"Mamma_Mia!_(film)","link",68
"246","Benny_Andersson",6615,"other-other","external",17
"247","Benny_Andersson",6615,"other-search","external",1150
"248","Benny_Andersson",6615,"other-empty","external",878
"249","Benny_Andersson",6615,"Anni-Frid_Lyngstad","link",1411
"250","Benny_Andersson",6615,"ABBA_(album)","link",12
"251","Benny_Andersson",6615,"ABBA","link",18143
"252","Benny_Andersson",6615,"16_grudnia","link",22
"253","Benny_Andersson",6615,"Mamma_Mia:_Here_We_Go_Again!","link",75
"254","Benny_Andersson",6615,"Dancing_Queen","link",34
"255","Benny_Andersson",6615,"Arrival","link",10
"256","Benny_Andersson",6615,"Avicii","link",27
"257","Benny_Andersson",6615,"Hung_Up","link",10
"258","Björn_Ulvaeus",5225,"Mamma_Mia!_(musical)","link",11
"259","Björn_Ulvaeus",5225,"ABBA","link",20452
"260","Björn_Ulvaeus",5225,"The_Winner_Takes_It_All","link",29
"261","Björn_Ulvaeus",5225,"Anni-Frid_Lyngstad","link",1531
"262","Björn_Ulvaeus",5225,"other-search","external",1011
"263","Björn_Ulvaeus",5225,"Avicii","link",30
"264","Björn_Ulvaeus",5225,"other-empty","external",972
"265","Björn_Ulvaeus",5225,"Dancing_Queen","link",31
"266","Björn_Ulvaeus",5225,"Hung_Up","link",11
"267","Björn_Ulvaeus",5225,"Mamma_Mia:_Here_We_Go_Again!","link",69
"268","Björn_Ulvaeus",5225,"other-internal","external",15
"269","Björn_Ulvaeus",5225,"Benny_Andersson","link",714
"270","Björn_Ulvaeus",5225,"other-other","external",13
"271","Björn_Ulvaeus",5225,"Mamma_Mia!_(film)","link",68
"272","Björn_Ulvaeus",5225,"Szwedzi","link",23
"273","Boney_M.",5818,"La_Bouche","link",11
"274","Boney_M.",5818,"Bobby_Farrell","link",247
"275","Boney_M.",5818,"Grigorij_Rasputin","link",97
"276","Boney_M.",5818,"other-search","external",22183
"277","Boney_M.",5818,"Precious_Wilson","link",21
"278","Boney_M.",5818,"other-internal","external",201
"279","Boney_M.",5818,"Frank_Farian","link",89
"280","Boney_M.",5818,"Disco","link",23
"281","Boney_M.",5818,"Maxim_w_Gdyni","link",35
"282","Boney_M.",5818,"other-external","external",46
"283","Boney_M.",5818,"Euro_disco","link",16
