"","slugScore","slugTeamLeading","idGame","numberEvent","numberEventMessageType","numberEventActionType","numberPeriod","timeStringWC","timeQuarter","descriptionPlayHome","descriptionPlayVisitor","minuteGame","timeRemaining","minuteRemainingQuarter","secondsRemainingQuarter","scoreHome","scoreAway","marginScore"
"855",NA,"Home",21700003,552,4,0,4,"9:05 PM","3:45","Drummond REBOUND (Off:5 Def:6)",NA,44.25,3.75,3,45,NA,NA,NA
"856","83 - 95","Home",21700003,553,1,80,4,"9:05 PM","3:39","Jackson 11' Step Back Jump Shot (11 PTS)",NA,44.35,3.65,3,39,83,95,12
"857",NA,"Home",21700003,554,6,2,4,"9:06 PM","3:23","Bradley S.FOUL (P4.T3) (M.Boland)",NA,44.6166666666667,3.38333333333333,3,23,NA,NA,NA
"858","84 - 95","Home",21700003,556,3,11,4,"9:06 PM","3:23",NA,"Walker Free Throw 1 of 2 (20 PTS)",44.6166666666667,3.38333333333333,3,23,84,95,11
"859","85 - 95","Home",21700003,557,3,12,4,"9:06 PM","3:23",NA,"Walker Free Throw 2 of 2 (21 PTS)",44.6166666666667,3.38333333333333,3,23,85,95,10
"860","85 - 97","Home",21700003,558,1,5,4,"9:07 PM","3:06","Drummond 1' Layup (8 PTS) (Bradley 1 AST)",NA,44.9,3.1,3,6,85,97,12
"861",NA,"Home",21700003,559,2,1,4,"9:07 PM","2:52",NA,"MISS Graham 26' 3PT Jump Shot",45.1333333333333,2.86666666666667,2,52,NA,NA,NA
"862",NA,"Home",21700003,560,4,0,4,"9:07 PM","2:49","Jackson REBOUND (Off:0 Def:4)",NA,45.1833333333333,2.81666666666667,2,49,NA,NA,NA
"863",NA,"Home",21700003,561,2,5,4,"9:07 PM","2:44","MISS Harris 4' Layup","Zeller BLOCK (1 BLK)",45.2666666666667,2.73333333333333,2,44,NA,NA,NA
"864",NA,"Home",21700003,563,4,0,4,"9:07 PM","2:44","Harris REBOUND (Off:2 Def:8)",NA,45.2666666666667,2.73333333333333,2,44,NA,NA,NA
"865",NA,"Home",21700003,564,2,1,4,"9:07 PM","2:36","MISS Johnson 25' 3PT Jump Shot",NA,45.4,2.6,2,36,NA,NA,NA
"866",NA,"Home",21700003,565,4,0,4,"9:07 PM","2:36",NA,"Howard REBOUND (Off:1 Def:13)",45.4,2.6,2,36,NA,NA,NA
"867",NA,"Home",21700003,568,9,1,4,"9:08 PM","2:27",NA,"Hornets Timeout: Regular (Reg.4 Short 0)",45.55,2.45,2,27,NA,NA,NA
"868",NA,"Home",21700003,571,8,0,4,"9:10 PM","2:27",NA,"SUB: Williams FOR Zeller",45.55,2.45,2,27,NA,NA,NA
"869",NA,"Home",21700003,572,6,2,4,"9:10 PM","2:24","Johnson S.FOUL (P1.T4) (J.DeRosa)",NA,45.6,2.4,2,24,NA,NA,NA
"870","86 - 97","Home",21700003,574,3,11,4,"9:11 PM","2:24",NA,"Lamb Free Throw 1 of 2 (14 PTS)",45.6,2.4,2,24,86,97,11
"871","87 - 97","Home",21700003,575,3,12,4,"9:11 PM","2:24",NA,"Lamb Free Throw 2 of 2 (15 PTS)",45.6,2.4,2,24,87,97,10
"872",NA,"Home",21700003,576,2,52,4,"9:11 PM","2:10","MISS Drummond 2' Alley Oop Dunk",NA,45.8333333333333,2.16666666666667,2,10,NA,NA,NA
"873",NA,"Home",21700003,577,4,0,4,"9:11 PM","2:09","Jackson REBOUND (Off:1 Def:4)",NA,45.85,2.15,2,9,NA,NA,NA
"874",NA,"Home",21700003,579,2,3,4,"9:12 PM","1:44","MISS Johnson 4' Hook Shot",NA,46.2666666666667,1.73333333333333,1,44,NA,NA,NA
"875",NA,"Home",21700003,580,4,0,4,"9:12 PM","1:42",NA,"Howard REBOUND (Off:1 Def:14)",46.3,1.7,1,42,NA,NA,NA
"876",NA,"Home",21700003,581,6,1,4,"9:12 PM","1:42","Jackson P.FOUL (P2.PN) (M.Boland)",NA,46.3,1.7,1,42,NA,NA,NA
"877","88 - 97","Home",21700003,583,3,11,4,"9:13 PM","1:42",NA,"Walker Free Throw 1 of 2 (22 PTS)",46.3,1.7,1,42,88,97,9
"878","89 - 97","Home",21700003,584,3,12,4,"9:13 PM","1:42",NA,"Walker Free Throw 2 of 2 (23 PTS)",46.3,1.7,1,42,89,97,8
"879",NA,"Home",21700003,585,2,47,4,"9:13 PM","1:27","MISS Harris 13' Turnaround Jump Shot",NA,46.55,1.45,1,27,NA,NA,NA
"880",NA,"Home",21700003,586,4,0,4,"9:13 PM","1:23","Johnson REBOUND (Off:1 Def:3)",NA,46.6166666666667,1.38333333333333,1,23,NA,NA,NA
"881","89 - 100","Home",21700003,587,1,1,4,"9:13 PM","1:11","Harris 25' 3PT Jump Shot (27 PTS) (Jackson 8 AST)",NA,46.8166666666667,1.18333333333333,1,11,89,100,11
"882",NA,"Home",21700003,589,6,2,4,"9:14 PM","1:02","Harris S.FOUL (P3.PN) (J.DeRosa)",NA,46.9666666666667,1.03333333333333,1,2,NA,NA,NA
"883",NA,"Home",21700003,591,3,11,4,"9:14 PM","1:02",NA,"MISS Walker Free Throw 1 of 2",46.9666666666667,1.03333333333333,1,2,NA,NA,NA
"884",NA,"Home",21700003,592,4,1,4,"9:14 PM","1:02",NA,"Hornets Rebound",46.9666666666667,1.03333333333333,1,2,NA,NA,NA
"885","90 - 100","Home",21700003,593,3,12,4,"9:15 PM","1:02",NA,"Walker Free Throw 2 of 2 (24 PTS)",46.9666666666667,1.03333333333333,1,2,90,100,10
"886",NA,"Home",21700003,594,6,1,4,"9:15 PM","0:56",NA,"Graham P.FOUL (P1.T4) (M.Davis)",47.0666666666667,0.933333333333333,0,56,NA,NA,NA
"887",NA,"Home",21700003,596,6,1,4,"9:15 PM","0:55",NA,"Williams P.FOUL (P2.PN) (M.Davis)",47.0833333333333,0.916666666666667,0,55,NA,NA,NA
"888","90 - 101","Home",21700003,598,3,11,4,"9:16 PM","0:55","Jackson Free Throw 1 of 2 (12 PTS)",NA,47.0833333333333,0.916666666666667,0,55,90,101,11
"889","90 - 102","Home",21700003,599,3,12,4,"9:16 PM","0:55","Jackson Free Throw 2 of 2 (13 PTS)",NA,47.0833333333333,0.916666666666667,0,55,90,102,12
"890",NA,"Home",21700003,600,2,1,4,"9:16 PM","0:49",NA,"MISS Lamb 21' Jump Shot",47.1833333333333,0.816666666666667,0,49,NA,NA,NA
"891",NA,"Home",21700003,601,4,0,4,"9:16 PM","0:45","Drummond REBOUND (Off:5 Def:7)",NA,47.25,0.75,0,45,NA,NA,NA
"892",NA,"Home",21700003,605,8,0,4,"9:18 PM","0:24",NA,"SUB: Kaminsky FOR Williams",47.6,0.4,0,24,NA,NA,NA
"893",NA,"Home",21700003,602,5,11,4,"9:17 PM","0:24","PISTONS Turnover: Shot Clock (T#9)",NA,47.6,0.4,0,24,NA,NA,NA
"894",NA,"Home",21700003,603,9,1,4,"9:17 PM","0:24",NA,"Hornets Timeout: Regular (Reg.5 Short 0)",47.6,0.4,0,24,NA,NA,NA
"895",NA,"Home",21700003,606,2,1,4,"9:19 PM","0:21",NA,"MISS Lamb 26' 3PT Jump Shot",47.65,0.35,0,21,NA,NA,NA
"896",NA,"Home",21700003,607,4,0,4,"9:19 PM","0:16","Drummond REBOUND (Off:5 Def:8)",NA,47.7333333333333,0.266666666666667,0,16,NA,NA,NA
"897","90 - 102","Home",21700003,608,13,0,4,"9:19 PM","0:00",NA,NA,48,0,0,0,90,102,12
