unique_identifier,l0,l1,l2,l3,l4,level,segment,fte,contractor,fte_cost_avg,lcm,aut_min_Y1,aut_min_Y2,aut_min_Y3,aut_mid_Y1,aut_mid_Y2,aut_mid_Y3,aut_max_Y1,aut_max_Y2,aut_max_Y3,aut_min_Y1_q,aut_min_Y2_q,aut_min_Y3_q,aut_mid_Y1_q,aut_mid_Y2_q,aut_mid_Y3_q,aut_max_Y1_q,aut_max_Y2_q,aut_max_Y3_q,pro_min_Y0,pro_min_Y1,pro_min_Y2,pro_min_Y3,pro_mid_Y0,pro_mid_Y1,pro_mid_Y2,pro_mid_Y3,pro_max_Y0,pro_max_Y1,pro_max_Y2,pro_max_Y3,baseline_bottom,baseline_top,baselinepos_min,baselinepos_mid,baselinepos_max,dd_min_Y0,dd_min_Y1,dd_min_Y2,dd_min_Y3,dd_mid_Y0,dd_mid_Y1,dd_mid_Y2,dd_mid_Y3,dd_max_Y0,dd_max_Y1,dd_max_Y2,dd_max_Y3,out_considered_min,out_considered_mid,out_considered_max,out_yesno,out_year_min,out_year_mid,out_year_max,out_quarter_min,out_quarter_mid,out_quarter_max,hire_min_Y1,hire_mid_Y1,hire_max_Y1,hire_min_Y2,hire_mid_Y2,hire_max_Y2,hire_min_Y3,hire_mid_Y3,hire_max_Y3,exit_min_Y1,exit_mid_Y1,exit_max_Y1,exit_min_Y2,exit_mid_Y2,exit_max_Y2,exit_min_Y3,exit_mid_Y3,exit_max_Y3,driver_group,driver,year,min,mid,max
183,Consumer,None,Planning & Performance,Financial Control & Operations,Maslahi and User Administration,4,Core,9,0,"16,654",0.18,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,9,9,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,0.95,0.95,0.95,0.89,0.89,0.89,0.85,0.85,0.85,whorev,whorev,2,330,396,475.2
184,Consumer,None,Planning & Performance,Financial Control & Operations,Profitability Management,4,Support,3,0,"22,342",0.19,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,3,3,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,0.95,0.95,0.95,0.89,0.89,0.89,0.85,0.85,0.85,conrev,whorev,3,340,408,489.6
185,Consumer,None,Planning & Performance,Financial Control & Operations,Revenue Assurance,4,Core,3,0,"22,240",0.19,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,3,3,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,0.95,0.95,0.95,0.89,0.89,0.89,0.85,0.85,0.85,entrev,stcsub,0,10,12,14.4
1556,Consumer,None,Planning & Performance,Partners Management,Purchase Order Management,,Core,15,0,,0.68,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,14,15,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,0.95,0.95,0.95,0.89,0.89,0.89,0.85,0.85,0.85,whorev,stcsub,1,20,24,28.8
186,Consumer,None,Planning & Performance,Performance & Program Management,,3,,1,0,"43,268",,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,1,1,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,0.95,0.95,0.95,0.89,0.89,0.89,0.85,0.85,0.85,headcount,stcsub,2,30,36,43.2
187,Consumer,None,Planning & Performance,Performance & Program Management,Performance & Fraud Management,4,Core,13,0,"23,686",0.22,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,12,13,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,0.95,0.95,0.95,0.89,0.89,0.89,0.85,0.85,0.85,stcsub,stcsub,3,40,48,57.6
188,Consumer,None,Planning & Performance,Performance & Program Management,Performance Analytics & Reporting,4,Core,10,0,"24,192",0.2,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,10,10,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,0.95,0.95,0.95,0.89,0.89,0.89,0.85,0.85,0.85,conrev,,,,,
189,Consumer,None,Planning & Performance,Performance & Program Management,Program Management,4,Support,5,0,"30,047",0.19,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,5,5,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,0.95,0.95,0.95,0.89,0.89,0.89,0.85,0.85,0.85,whorev,,,,,
190,Consumer,None,Planning & Performance,Quality Management,,3,Core,14,0,"27,324",0.15,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,13,14,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,0.95,0.95,0.95,0.89,0.89,0.89,0.85,0.85,0.85,stcsub,,,,,
1506,Consumer,None,Planning & Performance,Quality Management,Consumer Quality Assurance Pool,,Core,9,0,,0.19,1,0.99,0.99,0.98,0.98,0.97,0.98,0.97,0.95,1,1,1,1,1,1,1,1,1,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,2707,9,9,0.25,0.5,0.75,1,0.98,0.99,1.01,1,0.98,0.99,1.01,1,0.98,0.99,1.01,0,0,0,N,,,,,,,1.01,1.01,1.01,1.02,1.02,1.02,1.03,1.03,1.03,0.95,0.95,0.95,0.89,0.89,0.89,0.85,0.85,0.85,headcount,,,,,
