Time;deviceID:110 type:2 variable:4;deviceID:110 type:10 variable:4;deviceID:110 type:20 variable:4;deviceID:110 type:30 variable:4;deviceID:110 type:40 variable:4;deviceID:115 type:2 variable:4;deviceID:115 type:10 variable:4;deviceID:115 type:20 variable:4;deviceID:115 type:30 variable:4;deviceID:115 type:40 variable:4;deviceID:115 type:41 variable:4;deviceID:115 type:42 variable:4;deviceID:115 type:43 variable:4;deviceID:115 type:44 variable:4
2017-03-27 07:55:00;;;;;;100960;21,9113;33,7015;651,217;1,62474;1,71009;1,37366;1,65638;0,372542
2017-03-27 07:56:00;;;;;;100959;21,7675;32,9822;673,2;1,6503;1,68853;1,37017;1,65426;0,371945
2017-03-27 07:57:00;;;;;;100959;21,4287;33,243;662,883;1,66662;1,67599;1,36683;1,65289;0,371513
2017-03-27 08:04:00;;;;;;100966;20,5811;33,1746;653,625;1,72798;1,64585;1,34847;1,64408;0,365844
2017-03-27 08:54:00;;;;;;100940;19,98;;;;;1,3475;1,6426;0,3682
2017-03-27 08:55:00;;;;;;100939;19,8863;31,8733;441,6;1,61298;1,72953;1,40261;1,66905;0,329133
2017-03-27 08:56:00;;;;;;100938;19,846;31,6823;470,4;1,58382;1,75439;1,41739;1,67689;0,320597
2017-03-27 08:57:00;;;;;;100941;19,4957;32,0833;490,5;1,58616;1,73984;1,38323;1,65994;0,317048
2017-03-27 08:58:00;;;;;;100940;19,3563;32,3603;494,033;1,59982;1,73038;1,37667;1,65677;0,316257
2017-03-27 08:59:00;;;;;;100942;19,4413;32,629;511,1;1,58181;1,74316;1,38128;1,65981;0,31875
2017-03-27 09:00:00;;;;;;100944;19,6797;33,2107;538,8;1,61162;1,71701;1,37614;1,65702;0,322057
2017-03-27 09:01:00;;;;;;100946;20,017;32,6217;575,8;1,58051;1,74572;1,38451;1,66118;0,325633
2017-03-27 09:02:00;;;;;;100943;20,121;32,111;560,6;1,57935;1,74859;1,39077;1,66355;0,328387
